,Unnamed: 0,ID,Plant name,Fuel type,Unit type,Country/Area,Latitude,Longitude,Onshore/Offshore,Wiki URL,Start_production,End_production,Plant_extension,Machinery_type,flaring_in_active_period,flare_years_count_active,flare_points_within_radius_active,nearest_flare_km,flare_points_within_radius_anyyear
1357,1357,6859,Parks (Consolidated) - Vital Energy,oil and gas,asset,United States,31.91584393,-102.2158839,Onshore,"https://www.gem.wiki/Parks_(Consolidated)_-_Vital_Energy_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,80.94,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,11.0,32.0,0.7333316800729166,32.0
1362,1362,6867,Phantom (Wolfcamp) - Bta Oil Producers,oil and gas,asset,United States,31.71967088,-103.6943496,Onshore,"https://www.gem.wiki/Phantom_(Wolfcamp)_-_Bta_Oil_Producers_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,10.0,21.0,1.8587206916443548,33.0
1365,1365,6870,Phantom (Wolfcamp) - Circle-S Energy,oil and gas,asset,United States,31.75769322,-103.4978236,Onshore,"https://www.gem.wiki/Phantom_(Wolfcamp)_-_Circle-S_Energy_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,5.18,Onshore horizontal drilling (shale / tight oil),True,11.0,35.0,0.8666800413339257,39.0
1367,1367,6875,Phantom (Wolfcamp) - Cpx Energy Operating,oil and gas,asset,United States,31.74681726,-103.7395418,Onshore,"https://www.gem.wiki/Phantom_(Wolfcamp)_-_Cpx_Energy_Operating_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,80.94,Onshore hydraulic fracturing (primary technology),True,10.0,16.0,1.3195277871846214,18.0
1368,1368,6876,Phantom (Wolfcamp) - Diamondback E&P,oil and gas,asset,United States,31.52169421,-103.4163097,Onshore,"https://www.gem.wiki/Phantom_(Wolfcamp)_-_Diamondback_E&P_Oil_and_Gas_Asset_(Texas,_United_States)",2017-01,2026-02,40.47,Onshore hydraulic fracturing (primary technology),True,2.0,2.0,1.4410492209485586,22.0
1372,1372,6880,Phantom (Wolfcamp) - Lrr Pecos Valley,oil and gas,asset,United States,31.78771495,-103.528639,Onshore,"https://www.gem.wiki/Phantom_(Wolfcamp)_-_Lrr_Pecos_Valley_Oil_and_Gas_Asset_(Texas,_United_States)",2017-01,2026-02,40.4686,Onshore horizontal drilling (shale / tight oil),True,8.0,19.0,1.706136996571485,29.0
1374,1374,6882,Phantom (Wolfcamp) - Matador Production (Unconventional),oil and gas,asset,United States,31.69394331,-103.537596,Onshore,"https://www.gem.wiki/Phantom_(Wolfcamp)_-_Matador_Production_(Unconventional)_Oil_and_Gas_Asset_(Texas,_United_States)",2017-01,2026-02,76.89,Onshore horizontal drilling (shale / tight oil),True,8.0,9.0,0.2864553421729602,49.0
1377,1377,6885,Phantom (Wolfcamp) - Pdc Permian,oil and gas,asset,United States,31.50925314,-103.6955577,Onshore,"https://www.gem.wiki/Phantom_(Wolfcamp)_-_Pdc_Permian_Oil_and_Gas_Asset_(Texas,_United_States)",2017-01,2026-02,101.17,Onshore hydraulic fracturing (primary technology),True,4.0,5.0,1.2044202512952868,15.0
1395,1395,6906,Sand Hills (Wichita-Albany) - Blackbeard Operating,oil and gas,asset,United States,31.53584461,-102.6827316,Onshore,"https://www.gem.wiki/Sand_Hills_(Wichita-Albany)_-_Blackbeard_Operating_Oil_and_Gas_Asset_(Texas,_United_States)",2018-01,2026-02,,,True,7.0,38.0,0.5805503473020043,73.0
1409,1409,6926,"Spraberry (Trend Area) - Civitas Permian Operating, (Conventional)",oil and gas,asset,United States,31.62459666,-101.7774293,Onshore,"https://www.gem.wiki/Spraberry_(Trend_Area)_-_Civitas_Permian_Operating,_(Conventional)_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,6500.0,Onshore hydraulic fracturing (primary technology),True,13.0,23.0,0.1250084795484538,23.0
1419,1419,6940,"Spraberry (Trend Area) - Hannathon Petroleum Ii, (Unconventional)",oil and gas,asset,United States,31.70110051,-101.4375859,Onshore,"https://www.gem.wiki/Spraberry_(Trend_Area)_-_Hannathon_Petroleum_Ii,_(Unconventional)_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,6.0,26.0,1.31947355085327,26.0
1420,1420,6941,"Spraberry (Trend Area) - Hibernia Resources Iv, (Conventional)",oil and gas,asset,United States,32.38090706,-101.597181,Onshore,"https://www.gem.wiki/Spraberry_(Trend_Area)_-_Hibernia_Resources_Iv,_(Conventional)_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,6500.0,Onshore horizontal drilling (shale / tight oil),True,13.0,43.0,0.2073797071237663,43.0
1430,1430,6953,Spraberry (Trend Area) - Permian Resources Operating,oil and gas,asset,United States,31.26796499,-101.4270239,Onshore,"https://www.gem.wiki/Spraberry_(Trend_Area)_-_Permian_Resources_Operating_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,809.372,Onshore hydraulic fracturing (primary technology),True,13.0,26.0,0.2144795538794134,26.0
1434,1434,6957,Spraberry (Trend Area) - Sm Energy (Unconventional),oil and gas,asset,United States,32.18775385,-101.7277666,Onshore,"https://www.gem.wiki/Spraberry_(Trend_Area)_-_Sm_Energy_(Unconventional)_Oil_and_Gas_Asset_(Texas,_United_States)",2017-01,2026-02,144.47,Onshore hydraulic fracturing (primary technology),True,7.0,16.0,1.3131091942384827,26.0
1435,1435,6962,"Spraberry (Trend Area) - Vital Energy, (Unconventional)",oil and gas,asset,United States,31.79314091,-101.5141612,Onshore,"https://www.gem.wiki/Spraberry_(Trend_Area)_-_Vital_Energy,_(Unconventional)_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,6500.0,Onshore hydraulic fracturing (primary technology),True,5.0,5.0,1.5843162255935168,5.0
1438,1438,6965,Spraberry (Trend Area) - Zarvona Energy,oil and gas,asset,United States,31.57733229,-102.0643112,Onshore,"https://www.gem.wiki/Spraberry_(Trend_Area)_-_Zarvona_Energy_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,6500.0,Onshore hydraulic fracturing (primary technology),True,10.0,16.0,0.1734133072476885,16.0
1439,1439,6966,Spraberry (Trend Area) R 40 Exc - Apacheoration,oil and gas,asset,United States,31.55888803,-101.9166106,Onshore,"https://www.gem.wiki/Spraberry_(Trend_Area)_R_40_Exc_-_Apacheoration_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,11.0,16.0,1.1070999643441757,16.0
1440,1440,6967,Spraberry (Trend Area) R 40 Exc - Diamondback E&P,oil and gas,asset,United States,32.07688937,-101.8769687,Onshore,"https://www.gem.wiki/Spraberry_(Trend_Area)_R_40_Exc_-_Diamondback_E&P_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,4.0,6.0,1.3432788537589244,6.0
1442,1442,6971,Spraberry (Trend Area) R 40 Exc - Permian Resources Operating,oil and gas,asset,United States,31.26733525,-101.3995258,Onshore,"https://www.gem.wiki/Spraberry_(Trend_Area)_R_40_Exc_-_Permian_Resources_Operating_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,8.0,15.0,0.3223480221847573,15.0
1449,1449,6979,Sugarkane (Austin Chalk) - Devon Energy Production Co,oil and gas,asset,United States,28.96614837,-97.85165585,Onshore,"https://www.gem.wiki/Sugarkane_(Austin_Chalk)_-_Devon_Energy_Production_Co_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,404.69,Onshore hydraulic fracturing (primary technology),True,13.0,32.0,0.5652360377007813,32.0
1451,1451,6981,Sugarkane (Austin Chalk) - Gulftex Energy,oil and gas,asset,United States,28.93363449,-98.00481559,Onshore,"https://www.gem.wiki/Sugarkane_(Austin_Chalk)_-_Gulftex_Energy_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,40.47,Onshore horizontal drilling (shale / tight oil),True,13.0,38.0,0.7878761447705399,38.0
1454,1454,6984,Sugarkane (Eagle Ford) - Burlington Resources O & G Co (Conventional),oil and gas,asset,United States,28.69136989,-98.08369262,Onshore,"https://www.gem.wiki/Sugarkane_(Eagle_Ford)_-_Burlington_Resources_O_&_G_Co_(Conventional)_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,40.47,Onshore conventional vertical drilling,True,8.0,14.0,1.3641261546036398,14.0
1455,1455,6985,Sugarkane (Eagle Ford) - Burlington Resources O & G Co (Unconventional),oil and gas,asset,United States,28.73709423,-98.0079158,Onshore,"https://www.gem.wiki/Sugarkane_(Eagle_Ford)_-_Burlington_Resources_O_&_G_Co_(Unconventional)_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,40.4686,Onshore hydraulic fracturing (primary technology),True,12.0,34.0,1.8073925545119989,34.0
1456,1456,6986,"Sugarkane (Eagle Ford) - Devon Energy Production Co, (Unconventional)",oil and gas,asset,United States,28.83548917,-97.8988408,Onshore,"https://www.gem.wiki/Sugarkane_(Eagle_Ford)_-_Devon_Energy_Production_Co,_(Unconventional)_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,404.686,Onshore hydraulic fracturing (primary technology),True,13.0,48.0,1.5203448755782547,48.0
1461,1461,6991,Two Georges (Bone Spring) - Xto Energy,oil and gas,asset,United States,31.78356322,-103.3580776,Onshore,"https://www.gem.wiki/Two_Georges_(Bone_Spring)_-_Xto_Energy_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,40.47,Onshore hydraulic fracturing (primary technology),True,11.0,32.0,1.08847298734803,40.0
1475,1475,7071,Burket/Marcellus - Re Gas Dev,oil and gas,asset,United States,40.9268562,-79.88034426,Onshore,"https://www.gem.wiki/Burket/Marcellus_-_Re_Gas_Dev_Oil_and_Gas_Asset_(Pennsylvania,_United_States)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,5.0,5.0,2.4297641298920216,5.0
1477,1477,7078,Bone Spring - Apache Corporation,oil and gas,asset,United States,32.14569201,-103.7385831,Onshore,"https://www.gem.wiki/Bone_Spring_-_Apache_Corporation_Oil_and_Gas_Asset_(New_Mexico,_United_States)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,10.0,43.0,0.5918149496485631,43.0
1482,1482,7085,Bone Spring - Civitas Permian Operating,oil and gas,asset,United States,32.67826795,-104.2003021,Onshore,"https://www.gem.wiki/Bone_Spring_-_Civitas_Permian_Operating_Oil_and_Gas_Asset_(New_Mexico,_United_States)",2022-01,2026-02,4.04686,Onshore hydraulic fracturing (primary technology),True,2.0,3.0,2.6799429550966765,10.0
1485,1485,7095,Bone Spring - Oxy Usa,oil and gas,asset,United States,32.59137322,-104.0680002,Onshore,"https://www.gem.wiki/Bone_Spring_-_Oxy_Usa_Oil_and_Gas_Asset_(New_Mexico,_United_States)",2018-01,2026-02,,Onshore horizontal drilling (shale / tight oil),True,4.0,4.0,1.4044403878212897,20.0
1502,1502,7123,"Bone Spring, Southeast - Xto Energy",oil and gas,asset,United States,32.70520871,-104.0499748,Onshore,"https://www.gem.wiki/Bone_Spring,_Southeast_-_Xto_Energy_Oil_and_Gas_Asset_(New_Mexico,_United_States)",2016-01,2026-02,40.47,Onshore horizontal drilling (shale / tight oil),True,5.0,8.0,1.4818500978721507,12.0
1510,1510,7138,Glorieta-Yeso (O) - Longfellow Energy,oil and gas,asset,United States,32.74221798,-103.976966,Onshore,"https://www.gem.wiki/Glorieta-Yeso_(O)_-_Longfellow_Energy_Oil_and_Gas_Asset_(New_Mexico,_United_States)",2016-01,2026-02,40.4686,,True,8.0,8.0,1.205288497358442,8.0
1514,1514,7143,Glorieta-Yeso - Riley Permian Operating Company,oil and gas,asset,United States,32.68265864,-104.0392465,Onshore,"https://www.gem.wiki/Glorieta-Yeso_-_Riley_Permian_Operating_Company_Oil_and_Gas_Asset_(New_Mexico,_United_States)",2016-01,2026-02,40.47,Onshore hydraulic fracturing (primary technology),True,13.0,21.0,0.6375443409422642,21.0
1516,1516,7147,Grayburg-San Andres - Morningstar Operating,oil and gas,asset,United States,32.50554425,-104.1070762,Onshore,"https://www.gem.wiki/Grayburg-San_Andres_-_Morningstar_Operating_Oil_and_Gas_Asset_(New_Mexico,_United_States)",2016-01,2026-02,5.18,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,4.0,5.0,2.710636180166466,5.0
1518,1518,7149,Lower Bone Spring - Ameredev New Mexico,oil and gas,asset,United States,32.32653053,-104.0856286,Onshore,"https://www.gem.wiki/Lower_Bone_Spring_-_Ameredev_New_Mexico_Oil_and_Gas_Asset_(New_Mexico,_United_States)",2018-01,2026-02,80.94,Onshore horizontal drilling (shale / tight oil),True,6.0,11.0,1.216598295950371,21.0
1519,1519,7150,Lower Bone Spring - Cimarex Energy,oil and gas,asset,United States,32.64963623,-104.1926867,Onshore,"https://www.gem.wiki/Lower_Bone_Spring_-_Cimarex_Energy_Oil_and_Gas_Asset_(New_Mexico,_United_States)",2016-01,2026-02,404.69,Onshore horizontal drilling (shale / tight oil),True,6.0,14.0,0.393000352994389,14.0
1522,1522,7155,Lower Bone Spring - Kaiser-Francis Oil,oil and gas,asset,United States,32.0243446,-104.1741288,Onshore,"https://www.gem.wiki/Lower_Bone_Spring_-_Kaiser-Francis_Oil_Oil_and_Gas_Asset_(New_Mexico,_United_States)",2016-01,2044-01,,Onshore hydraulic fracturing (primary technology),True,2.0,2.0,2.7100382761289565,2.0
1528,1528,7166,Upper Bone Springing Shale - Eog Resources,oil and gas,asset,United States,32.7191752,-104.1068074,Onshore,"https://www.gem.wiki/Upper_Bone_Springing_Shale_-_Eog_Resources_Oil_and_Gas_Asset_(New_Mexico,_United_States)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,6.0,10.0,1.1700770935041205,10.0
1529,1529,7168,Upper Wolfcamp - Apache Corporation,oil and gas,asset,United States,32.15156175,-103.7308548,Onshore,"https://www.gem.wiki/Upper_Wolfcamp_-_Apache_Corporation_Oil_and_Gas_Asset_(New_Mexico,_United_States)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,10.0,26.0,0.2249501343912104,44.0
1533,1533,7172,Upper Wolfcamp - Cimarex Energy,oil and gas,asset,United States,32.6505736,-104.2428982,Onshore,"https://www.gem.wiki/Upper_Wolfcamp_-_Cimarex_Energy_Oil_and_Gas_Asset_(New_Mexico,_United_States)",2016-01,2026-02,404.686,Onshore horizontal drilling (shale / tight oil),True,2.0,2.0,2.1135281505917884,2.0
1537,1537,7176,Upper Wolfcamp - Devon Energy Production Company,oil and gas,asset,United States,32.69635535,-104.1135843,Onshore,"https://www.gem.wiki/Upper_Wolfcamp_-_Devon_Energy_Production_Company_Oil_and_Gas_Asset_(New_Mexico,_United_States)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,12.0,27.0,0.6535229507711047,27.0
1567,1567,7251,Sanish - Whiting Oil And Gas Corporation (Bakken),oil and gas,asset,United States,48.09829637,-102.4601726,Onshore,"https://www.gem.wiki/Sanish_-_Whiting_Oil_And_Gas_Corporation_(Bakken)_Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,121.41,Onshore horizontal drilling (shale / tight oil),True,9.0,25.0,0.3655923910564457,25.0
1570,1570,7256,"Elm Tree - Continental Resources, Inc.",oil and gas,asset,United States,48.05878668,-102.7511381,Onshore,"https://www.gem.wiki/Elm_Tree_-_Continental_Resources,_Inc._Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,40.47,Onshore horizontal drilling (shale / tight oil),True,13.0,50.0,0.6911798584231991,50.0
1576,1576,7262,"Alkali Creek - Hess Bakken Investments Ii, Llc",oil and gas,asset,United States,48.1794736,-102.7583595,Onshore,"https://www.gem.wiki/Alkali_Creek_-_Hess_Bakken_Investments_Ii,_Llc_Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,40.0,Onshore hydraulic fracturing (primary technology),True,13.0,29.0,1.6209953582444776,29.0
1577,1577,7263,"Banks - Grayson Mill Operating, Llc",oil and gas,asset,United States,48.02040265,-103.2331123,Onshore,"https://www.gem.wiki/Banks_-_Grayson_Mill_Operating,_Llc_Oil_and_Gas_Asset_(North_Dakota,_United_States)",2017-01,2026-02,5.18,Onshore hydraulic fracturing (primary technology),True,8.0,17.0,0.4592389813136694,27.0
1580,1580,7266,"Little Knife - Continental Resources, Inc.",oil and gas,asset,United States,47.47808345,-103.0023959,Onshore,"https://www.gem.wiki/Little_Knife_-_Continental_Resources,_Inc._Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,81.0,Onshore hydraulic fracturing (primary technology),True,10.0,39.0,1.6320055859946856,39.0
1585,1585,7271,"Oliver - Kraken Operating, Llc",oil and gas,asset,United States,48.41841859,-103.3587586,Onshore,"https://www.gem.wiki/Oliver_-_Kraken_Operating,_Llc_Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,5.18,Onshore horizontal drilling (shale / tight oil),True,13.0,38.0,1.5027572825187026,38.0
1587,1587,7274,Banks - Oasis Petroleum North America Llc,oil and gas,asset,United States,47.97061923,-103.1985212,Onshore,"https://www.gem.wiki/Banks_-_Oasis_Petroleum_North_America_Llc_Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,,Onshore horizontal drilling (shale / tight oil),True,9.0,20.0,1.3877284094397186,20.0
1588,1588,7275,"West Capa - Continental Resources, Inc.",oil and gas,asset,United States,48.20353243,-103.0738193,Onshore,"https://www.gem.wiki/West_Capa_-_Continental_Resources,_Inc._Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,4856.232,Onshore hydraulic fracturing (primary technology),True,13.0,22.0,0.8840500928613043,22.0
1600,1600,7289,"Manitou - Hess Bakken Investments Ii, Llc (Bakken)",oil and gas,asset,United States,48.27725036,-102.776699,Onshore,"https://www.gem.wiki/Manitou_-_Hess_Bakken_Investments_Ii,_Llc_(Bakken)_Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,2.59,Onshore horizontal drilling (shale / tight oil),True,13.0,24.0,1.421922662519802,24.0
1616,1616,7306,"Dollar Joe - Continental Resources, Inc.",oil and gas,asset,United States,48.247098,-103.148971,Onshore,"https://www.gem.wiki/Dollar_Joe_-_Continental_Resources,_Inc._Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,5.18,Onshore horizontal drilling (shale / tight oil),True,10.0,16.0,0.7700410800371829,16.0
1617,1617,7307,Sand Creek - Burlington Resources Oil & Gas Company Lp,oil and gas,asset,United States,48.05717297,-103.1001415,Onshore,"https://www.gem.wiki/Sand_Creek_-_Burlington_Resources_Oil_&_Gas_Company_Lp_Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,,Onshore conventional vertical drilling,True,13.0,36.0,1.2314888010942378,36.0
1627,1627,7322,"Alkali Creek - Continental Resources, Inc.",oil and gas,asset,United States,48.1393558,-102.7235587,Onshore,"https://www.gem.wiki/Alkali_Creek_-_Continental_Resources,_Inc._Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,,Onshore horizontal drilling (shale / tight oil),True,13.0,52.0,1.22611611088838,52.0
1633,1633,7328,"Lone Tree Lake - Kraken Operating, Llc",oil and gas,asset,United States,48.39811793,-103.4494021,Onshore,"https://www.gem.wiki/Lone_Tree_Lake_-_Kraken_Operating,_Llc_Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,40.47,Onshore pump-assisted production (pumpjack / ESP / PCP),True,10.0,34.0,0.2639186701332431,34.0
1636,1636,7332,Croff - Burlington Resources Oil & Gas Company Lp,oil and gas,asset,United States,47.7540026,-102.9201829,Onshore,"https://www.gem.wiki/Croff_-_Burlington_Resources_Oil_&_Gas_Company_Lp_Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,5.18,Onshore hydraulic fracturing (primary technology),True,13.0,34.0,0.6600538180683265,34.0
1638,1638,7335,"Alger - Hess Bakken Investments Ii, Llc (Bakken)",oil and gas,asset,United States,48.27186253,-102.6317211,Onshore,"https://www.gem.wiki/Alger_-_Hess_Bakken_Investments_Ii,_Llc_(Bakken)_Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,40.47,Onshore horizontal drilling (shale / tight oil),True,13.0,34.0,0.5176508088330997,34.0
1645,1645,7342,"Big Gulch - Continental Resources, Inc.",oil and gas,asset,United States,47.55014316,-102.9558391,Onshore,"https://www.gem.wiki/Big_Gulch_-_Continental_Resources,_Inc._Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,40.47,Onshore hydraulic fracturing (primary technology),True,12.0,34.0,0.3775299401850774,34.0
1646,1646,7343,"Cedar Hills - Continental Resources, Inc.",oil and gas,asset,United States,46.17374441,-103.9627032,Onshore,"https://www.gem.wiki/Cedar_Hills_-_Continental_Resources,_Inc._Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,404.69,Onshore hydraulic fracturing (primary technology),True,5.0,5.0,1.580035492493253,5.0
1652,1652,7352,"Dimmick Lake - Continental Resources, Inc.",oil and gas,asset,United States,47.84796767,-103.0224487,Onshore,"https://www.gem.wiki/Dimmick_Lake_-_Continental_Resources,_Inc._Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,40.47,Onshore hydraulic fracturing (primary technology),True,12.0,26.0,0.3582380522882237,26.0
1657,1657,7358,"Stanley - Lime Rock Resources Iii-A, L.P.",oil and gas,asset,United States,48.23200054,-102.3936827,Onshore,"https://www.gem.wiki/Stanley_-_Lime_Rock_Resources_Iii-A,_L.P._Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,40.47,Onshore horizontal drilling (shale / tight oil),True,10.0,34.0,0.8272518137967155,34.0
1660,1660,7361,Pembroke - Whiting Oil And Gas Corporation,oil and gas,asset,United States,47.7184038,-103.245921,Onshore,"https://www.gem.wiki/Pembroke_-_Whiting_Oil_And_Gas_Corporation_Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,48.56,Onshore horizontal drilling (shale / tight oil),True,12.0,46.0,1.464936216865521,46.0
1661,1661,7362,"Siverston - Grayson Mill Operating, Llc",oil and gas,asset,United States,47.8173836,-103.2234708,Onshore,"https://www.gem.wiki/Siverston_-_Grayson_Mill_Operating,_Llc_Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,11.0,12.0,0.1767946654723767,12.0
1666,1666,7368,"Corral Creek - Continental Resources, Inc.",oil and gas,asset,United States,47.51454661,-102.856367,Onshore,"https://www.gem.wiki/Corral_Creek_-_Continental_Resources,_Inc._Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,258.999,Onshore hydraulic fracturing (primary technology),True,13.0,39.0,0.3552299355782147,39.0
1668,1668,7371,Parshall - Hunt Oil Company,oil and gas,asset,United States,48.1285616,-102.1676829,Onshore,"https://www.gem.wiki/Parshall_-_Hunt_Oil_Company_Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,7.0,7.0,1.9582969191564248,7.0
1679,1679,7383,Dollar Joe - Whiting Oil And Gas Corporation,oil and gas,asset,United States,48.2983863,-103.0928623,Onshore,"https://www.gem.wiki/Dollar_Joe_-_Whiting_Oil_And_Gas_Corporation_Oil_and_Gas_Asset_(North_Dakota,_United_States)",2016-01,2026-02,5.18,Onshore hydraulic fracturing (primary technology),True,6.0,21.0,1.2872372363763636,21.0
